"","state","year","e85","total","ratio_e85"
"680","Arkansas","2022",74,735,10.0680272108844
"681","California","2022",326,44987,0.724653788872341
"682","Colorado","2022",95,4589,2.0701677925474
"683","Connecticut","2022",3,1673,0.17931858936043
"684","Delaware","2022",2,391,0.51150895140665
"685","District of Columbia","2022",4,992,0.403225806451613
"686","Florida","2022",143,8130,1.75891758917589
"687","Georgia","2022",58,4308,1.34633240482823
"688","Hawaii","2022",1,955,0.104712041884817
"689","Idaho","2022",4,419,0.954653937947494
"690","Illinois","2022",293,3842,7.62623633524206
"691","Indiana","2022",240,1411,17.0092133238838
"692","Iowa","2022",346,1320,26.2121212121212
"693","Kansas","2022",73,1187,6.14995787700084
"694","Kentucky","2022",73,717,10.1813110181311
"695","Louisiana","2022",18,563,3.19715808170515
"696","Maine","2022",1,877,0.114025085518814
"697","Maryland","2022",55,4056,1.3560157790927
"698","Massachusetts","2022",6,5817,0.103145951521403
"699","Michigan","2022",228,3037,7.50740862693448
"700","Minnesota","2022",437,2267,19.2765769739744
"701","Mississippi","2022",5,524,0.954198473282443
"702","Missouri","2022",136,2437,5.58063192449733
"703","Montana","2022",2,284,0.704225352112676
"704","Nebraska","2022",126,631,19.9683042789223
"705","Nevada","2022",19,1711,1.1104617182934
"706","New Hampshire","2022",0,490,0
"707","New Jersey","2022",6,2744,0.21865889212828
"708","New Mexico","2022",17,599,2.83806343906511
"709","New York","2022",79,9730,0.811921891058582
"710","North Carolina","2022",107,3353,3.19117208470027
"711","North Dakota","2022",42,235,17.8723404255319
"712","Ohio","2022",209,3139,6.65817139216311
"713","Oklahoma","2022",95,1428,6.65266106442577
"714","Oregon","2022",5,2572,0.194401244167963
"715","Pennsylvania","2022",172,3594,4.78575403450195
"716","Rhode Island","2022",0,781,0
"717","South Carolina","2022",60,1137,5.27704485488127
"718","South Dakota","2022",81,275,29.4545454545455
"719","Tennessee","2022",92,1848,4.97835497835498
"720","Texas","2022",257,7047,3.64694196111821
"721","Utah","2022",1,1938,0.0515995872033024
"722","Vermont","2022",0,901,0
"723","Virginia","2022",72,3839,1.8754884084397
"724","Washington","2022",12,4654,0.257842715943275
"725","West Virginia","2022",38,444,8.55855855855856
"726","Wisconsin","2022",257,1461,17.5906913073237
"727","Wyoming","2022",8,246,3.2520325203252
"728","Total","2022",4426,154245,2.86946092255827
