"","state","year","e85","total","ratio_e85"
"317","California","2015",107,11242,0.951787938089308
"318","Colorado","2015",89,921,9.66340933767644
"319","Connecticut","2015",4,542,0.738007380073801
"320","Delaware","2015",1,67,1.49253731343284
"321","District of Columbia","2015",3,246,1.21951219512195
"322","Florida","2015",74,2006,3.6889332003988
"323","Georgia","2015",58,1372,4.22740524781341
"324","Hawaii","2015",3,511,0.587084148727984
"325","Idaho","2015",7,131,5.34351145038168
"326","Illinois","2015",247,1357,18.201915991157
"327","Indiana","2015",194,720,26.9444444444444
"328","Iowa","2015",214,423,50.5910165484634
"329","Kansas","2015",26,640,4.0625
"330","Kentucky","2015",68,224,30.3571428571429
"331","Louisiana","2015",9,162,5.55555555555556
"332","Maine","2015",0,108,0
"333","Maryland","2015",34,940,3.61702127659574
"334","Massachusetts","2015",6,1036,0.579150579150579
"335","Michigan","2015",241,1178,20.4584040747029
"336","Minnesota","2015",289,874,33.0663615560641
"337","Mississippi","2015",3,166,1.80722891566265
"338","Missouri","2015",99,720,13.75
"339","Montana","2015",2,113,1.76991150442478
"340","Nebraska","2015",82,180,45.5555555555556
"341","Nevada","2015",20,376,5.31914893617021
"342","New Hampshire","2015",0,156,0
"343","New Jersey","2015",5,465,1.0752688172043
"344","New Mexico","2015",10,187,5.3475935828877
"345","New York","2015",85,1570,5.4140127388535
"346","North Carolina","2015",26,1113,2.33602875112309
"347","North Dakota","2015",53,86,61.6279069767442
"348","Ohio","2015",136,674,20.1780415430267
"349","Oklahoma","2015",31,362,8.56353591160221
"350","Oregon","2015",8,1205,0.663900414937759
"351","Pennsylvania","2015",37,699,5.29327610872675
"352","Rhode Island","2015",0,197,0
"353","South Carolina","2015",68,493,13.7931034482759
"354","South Dakota","2015",80,129,62.015503875969
"355","Tennessee","2015",69,1086,6.353591160221
"356","Texas","2015",197,2864,6.87849162011173
"357","Utah","2015",3,417,0.719424460431655
"358","Vermont","2015",1,285,0.350877192982456
"359","Virginia","2015",18,892,2.01793721973094
"360","Washington","2015",21,1756,1.19589977220957
"361","West Virginia","2015",9,98,9.18367346938776
"362","Wisconsin","2015",156,670,23.2835820895522
"363","Wyoming","2015",11,98,11.2244897959184
"364","Total","2015",3012,43384,6.942651668818
"365","Alabama","2016",32,390,8.2051282051282
"366","Alaska","2016",0,13,0
"367","Arizona","2016",25,1254,1.99362041467305
"368","Arkansas","2016",44,203,21.6748768472906
"369","California","2016",119,14969,0.79497628432093
"370","Colorado","2016",88,1201,7.32722731057452
"371","Connecticut","2016",4,774,0.516795865633075
"372","Delaware","2016",1,80,1.25
"373","District of Columbia","2016",4,258,1.55038759689922
"374","Florida","2016",74,2429,3.0465212021408
"375","Georgia","2016",56,1736,3.2258064516129
"376","Hawaii","2016",2,587,0.340715502555366
"377","Idaho","2016",6,193,3.10880829015544
"378","Illinois","2016",263,1593,16.5097300690521
"379","Indiana","2016",200,821,24.3605359317905
"380","Iowa","2016",210,480,43.75
"381","Kansas","2016",21,813,2.5830258302583
"382","Kentucky","2016",72,294,24.4897959183673
"383","Louisiana","2016",11,242,4.54545454545455
"384","Maine","2016",0,204,0
"385","Maryland","2016",34,1227,2.77098614506927
"386","Massachusetts","2016",7,1331,0.525920360631104
"387","Michigan","2016",254,1535,16.5472312703583
"388","Minnesota","2016",314,1083,28.9935364727609
"389","Mississippi","2016",3,175,1.71428571428571
"390","Missouri","2016",92,1349,6.81986656782802
"391","Montana","2016",2,141,1.41843971631206
"392","Nebraska","2016",80,237,33.7552742616034
"393","Nevada","2016",20,557,3.59066427289048
"394","New Hampshire","2016",0,212,0
"395","New Jersey","2016",5,565,0.884955752212389
"396","New Mexico","2016",10,220,4.54545454545455
"397","New York","2016",79,1936,4.08057851239669
"398","North Carolina","2016",58,1366,4.24597364568082
"399","North Dakota","2016",43,80,53.75
"400","Ohio","2016",151,856,17.6401869158879
"401","Oklahoma","2016",29,407,7.12530712530713
"402","Oregon","2016",10,1416,0.706214689265537
"403","Pennsylvania","2016",41,897,4.57079152731327
"404","Rhode Island","2016",0,222,0
"405","South Carolina","2016",67,535,12.5233644859813
